rsi_14_1h,macd_1h,macd_signal_1h,volume_spike_%_1h,price_above_ema_1h,atr_1h,momentum_1h,volatility_1h,normalized_volume_1h,rsi_14_15m,macd_15m,macd_signal_15m,volume_spike_%_15m,price_above_ema_15m,atr_15m,momentum_15m,volatility_15m,normalized_volume_15m,rsi_14_5m,macd_5m,macd_signal_5m,volume_spike_%_5m,price_above_ema_5m,atr_5m,momentum_5m,volatility_5m,normalized_volume_5m,news_sentiment,target
18.284904323175013,-0.0379780530465158,-0.034816894076323095,94.85604202125064,0.0,0.017321428571428574,-0.08089999999999997,0.028528020734585265,2.301688566961113,34.45595854922277,-0.003736244277353473,-0.0027814324255611804,-60.912648857388284,0.0,0.005078571428571428,-0.008000000000000007,0.004839336299994104,0.5409005845414581,66.1157024793389,0.000914701089102743,0.0007150722887709665,203.80197763805478,1.0,0.002228571428571437,0.0040000000000000036,0.0012698749613463932,3.4018390054127146,0,1
43.99999999999993,-0.00023397181339539913,-0.0002241745623280775,-10.815143245154342,1.0,0.0007785714285714276,0.00030000000000000165,0.00026726124191147683,0.9637698746647972,37.5,-0.00015025949431588664,-0.00015757961834783672,39.48030732188022,1.0,0.0002285714285714282,0.0003999999999999976,0.00018883680959702663,1.0562976741745798,35.999999999999986,-0.0003892246509866054,-0.00041054965021369687,-24.053670772744578,0.0,0.00035714285714285747,-0.0001999999999999988,0.0002908872369419924,0.7475564838827912,0,1
66.66666666666671,0.00017050363957619302,-3.208336925606571e-05,59.58940928745484,1.0,0.0007785714285714271,0.0006000000000000033,0.0006686463281046411,1.4596968568915465,89.58333333333337,0.0026994693884062476,0.0018068654869301572,51.33107710650431,1.0,0.0018785714285714278,0.007900000000000004,0.003715811182938879,2.1313275928809965,78.8461538461539,0.000665355189231942,0.0004203674982428925,56.731884404848664,1.0,0.0008428571428571423,0.0017000000000000001,0.0008982278034072207,1.9711330238952456,0,1
36.78474114441411,0.002020165169207999,0.018958081648739383,37.44460762845607,0.0,0.06249999999999994,-0.16800000000000015,0.05285461086896051,0.8102735136858831,36.36363636363617,-0.014852509551215753,-0.013522320802355709,-46.05372796061455,0.0,0.02271428571428575,0.0019999999999997797,0.02024031446570063,0.5331486699950546,56.25,0.006543253270789862,0.0033454262465785994,160.58069959167963,1.0,0.015499999999999847,0.02799999999999958,0.01595271171271362,3.498248619169659,0,1
40.1746724890829,-1.0558390868712318e-05,-8.373681941141681e-06,60.68981801669071,0.0,2.7071428571428555e-05,-2.3999999999999933e-05,2.6055414319947376e-05,1.7640636423487746,47.169811320754725,6.043591074735444e-07,1.1415927383589092e-06,4.426451586850321,1.0,7.714285714285685e-06,1.0000000000000026e-05,7.202334786283292e-06,0.9890087944892993,67.741935483871,8.8140122953273e-06,1.069859723640313e-06,-44.922126491573955,1.0,1.785714285714281e-05,3.300000000000004e-05,3.111128553937111e-05,0.6310123172038077,0,1
58.99053627760253,-3.653818596875344e-06,-5.962275465491117e-06,0.43109624200891794,1.0,4.285714285714291e-05,7.700000000000025e-05,2.5016038811174685e-05,1.2240673534865767,51.58730158730162,-1.9202221285244316e-06,-1.7742691544287889e-06,49.168439380942424,1.0,1.2142857142857174e-05,1.2000000000000075e-05,8.671349819509328e-06,1.5304749947103764,79.66101694915228,1.611275208374119e-05,1.3929861287902711e-05,77.6639367647172,1.0,8.07142857142862e-06,2.20000000000001e-05,1.35127127769901e-05,2.3426861467114044,0,1
44.99999999999999,0.005207598364691368,0.006180887653158357,43.199658559507306,1.0,0.006792857142857156,-0.006199999999999983,0.002449624326430215,0.9172845195761642,35.56485355648526,-0.0017260442251874064,-0.0016347194257147425,-57.03382382825889,0.0,0.0032857142857142924,0.0005000000000000004,0.0025286598978745242,0.500828239923177,60.49382716049363,0.00030135598452718515,-1.612414261063284e-05,-45.40217236456242,1.0,0.0010857142857142732,0.00029999999999996696,0.0008597213962233844,0.5832586268187248,0,1
17.513513513513402,-0.014935696649793329,0.00017598207302284893,14.741196980183826,0.0,0.042085714285714296,-0.04760000000000009,0.05164975027332372,1.0074232971183794,37.29235880398671,-0.009960053642824152,-0.005176641218569465,22.340040848203195,0.0,0.017571428571428554,0.000600000000000156,0.019218277701246626,1.424985879917652,70.88388214904745,0.0047099389189759755,0.0032748805066599336,-14.528390796937723,1.0,0.011692857142857045,-0.005299999999999638,0.013079511702415976,0.8630376663769693,0,1
56.304347826087,0.0029362934422175746,0.0032587679381639607,8.53831300022407,1.0,0.0077142857142857135,0.0023000000000000242,0.004740131449004319,0.7636988279309509,45.061728395061806,-0.000955856606684069,-0.0008304745947127299,79.98967316807187,0.0,0.002185714285714283,0.0016999999999999793,0.0012290441206662562,1.410644509759483,51.08695652173901,-0.00038515730954480354,-0.000564270610326567,-2.293204465092487,1.0,0.000978571428571424,0.0020000000000000018,0.0008899005994646314,1.0055914823695393,0,1
34.8837209302326,-0.0007853151452463965,-0.0008439400570105838,-19.28060357313663,0.0,0.0007285714285714289,0.0005999999999999998,0.00037306276171250027,0.589196692261208,23.07692307692301,-0.0003253035977654403,-0.0003327867594372577,-5.6917442020344575,0.0,0.00025714285714285655,0.0,0.00020000000000015478,0.8653721493071163,74.99999999999997,0.00015580897036581234,2.9926485347217817e-05,204.05869213638402,1.0,0.0005714285714285709,0.001899999999999999,0.0006094944761715128,3.6842224743354137,0,1
